ID;BT1;BT2;BT3;BT4;BT5;SB BT;RV1;RV2;RV3;RV4;RV5;SB RV;FECHA
2029;1;2;5;16;23;11;9;17;21;34;40;4;31/10/2020
2030;22;26;29;30;39;7;4;12;13;24;32;6;4/11/2020
2031;22;30;32;40;42;12;3;9;8;23;35;8;7/11/2020
2032;3;5;11;25;29;6;23;24;25;29;40;1;11/11/2020
2033;12;19;20;33;37;14;2;3;4;11;33;4;14/11/2020
2034;17;20;26;35;40;13;10;25;26;27;29;7;18/11/2020
2035;6;18;34;40;43;16;5;16;18;28;41;2;21/11/2020
2036;2;21;22;30;34;7;9;15;19;30;34;1;25/11/2020
2037;7;15;23;30;32;15;14;22;25;32;40;2;28/11/2020
2038;7;19;27;31;36;12;10;18;20;22;24;6;2/12/2020
2039;5;13;19;21;25;13;4;19;32;35;41;16;5/12/2020
2040;5;10;21;28;42;16;3;16;21;28;39;13;9/12/2020
2041;1;3;12;15;23;9;6;11;20;22;33;4;12/12/2020
2042;9;24;25;27;40;6;5;18;19;25;36;10;16/12/2020
2043;1;8;14;28;34;13;5;10;13;16;18;3;19/12/2020
2044;5;12;23;28;35;14;4;5;15;36;42;16;23/12/2020
2045;12;19;24;37;42;3;18;23;26;35;36;10;26/12/2020
2046;5;19;24;27;29;4;1;17;27;29;38;16;30/12/2020
2047;16;21;24;26;33;8;6;11;13;40;43;5;02/01/2021
2048;6;29;37;39;43;13;3;6;9;31;32;11;06/01/2021
2049;8;28;33;41;43;4;7;10;17;37;43;7;09/01/2021
2050;1;14;36;37;40;8;1;9;11;23;41;1;13/01/2021
2051;7;14;18;27;28;4;2;11;13;22;38;4;16/01/2021
2052;17;24;26;28;40;16;1;3;9;22;25;8;20/01/2021
2053;7;15;22;25;32;9;3;5;11;37;40;5;23/01/2021
2054;14;19;21;22;23;2;3;8;12;15;38;5;27/01/2021
2055;1;10;11;23;33;10;5;6;8;21;23;9;30/01/2021
2056;6;13;17;33;38;12;7;15;34;40;42;14;03/02/2021
2057;7;15;23;29;35;8;5;17;23;28;35;16;06/02/2021
2058;4;15;31;36;40;6;7;18;19;33;35;12;10/02/2021
2059;3;4;5;7;21;16;3;11;18;36;37;4;13/02/2021
2060;11;21;22;38;42;4;1;6;12;40;42;2;17/02/2021
2061;4;6;17;24;25;14;2;14;28;34;39;15;20/02/2021
2062;5;7;8;12;25;1;5;10;12;24;41;5;24/02/2021
2063;6;17;22;30;42;5;7;17;19;27;36;12;27/02/2021
2064;6;8;15;32;33;13;2;3;14;38;42;13;03/03/2021
2065;1;13;16;19;20;2;8;10;18;31;42;1;06/03/2021
2066;1;4;21;27;33;3;13;22;26;36;38;12;10/03/2021
2067;4;6;27;35;39;2;14;15;38;42;43;13;13/03/2021
2068;14;28;33;34;35;15;2;22;30;35;39;15;17/03/2021
2069;10;16;23;31;43;12;5;22;28;29;38;8;20/03/2021
2070;2;20;32;37;43;13;5;19;30;35;37;3;24/03/2021
2071;13;20;25;30;35;4;8;11;25;31;32;3;27/03/2021
